epoch,train loss,validation loss,wall time (seconds)
0,910974.0,909832.4375,0.5216686999999998
1,640711.5625,640055.625,0.6577208000000003
2,366978.78125,366851.25,0.7956233999999998
3,176129.3125,176411.59375,0.9278429999999998
4,81657.8359375,82030.6171875,1.0576478999999996
5,46894.2578125,47181.015625,1.1885181
6,46440.90234375,46786.140625,1.3271770999999997
7,81977.609375,81963.7421875,1.4697464999999998
8,82489.7578125,82829.9921875,1.6045466999999998
9,55822.19140625,56041.453125,1.7439771
10,51929.26953125,52062.9375,1.8796421000000003
11,58212.9375,58485.85546875,2.0168757999999998
12,61634.5078125,61680.46484375,2.1498546
13,57290.1953125,57532.37109375,2.2813456000000003
14,62264.984375,62263.9609375,2.4113200999999997
15,54609.46875,54811.796875,2.543168
16,63445.39453125,63421.01953125,2.6752236999999996
17,50140.359375,50306.8984375,2.8051808
18,56635.765625,56617.0078125,2.9455326000000004
19,41611.82421875,41755.59375,3.0846414999999996
20,45878.38671875,45893.546875,3.2208659
21,36414.48046875,36541.90625,3.3527465
22,39964.9765625,39999.98828125,3.4890988000000003
23,33468.00390625,33583.4921875,3.6210956
24,38828.37109375,38881.84375,3.7531111999999998
25,35130.96875,35229.60546875,3.8855311
26,44790.48046875,44867.98046875,4.0174608
27,45028.5078125,45096.44921875,4.1494771
28,52811.3203125,52927.0625,4.2817305
29,50215.26953125,50261.57421875,4.4136775
30,42488.93359375,42644.32421875,4.545974900000001
31,41219.765625,41258.44140625,4.6785032
32,38062.28515625,38234.62890625,4.8085621
33,40598.86328125,40613.33984375,4.941006700000001
34,43102.5625,43271.58984375,5.0733421
35,56751.63671875,56697.42578125,5.205379200000001
36,52614.76171875,52750.921875,5.337767400000001
37,76893.2578125,76763.859375,5.469780700000001
38,54545.23828125,54687.07421875,5.601607400000001
39,61696.921875,61590.12890625,5.7339827
40,35160.796875,35296.41796875,5.8666163000000005
41,35258.0,35236.4375,5.998669600000001
42,27481.763671875,27609.751953125,6.128760700000001
43,29798.359375,29812.548828125,6.2602928
44,25459.859375,25575.763671875,6.395125200000001
45,32399.771484375,32430.966796875,6.530704200000001
46,25388.158203125,25491.0234375,6.6634405
47,35390.69921875,35430.046875,6.796135100000001
48,25016.064453125,25105.13671875,6.9282992
49,34935.3046875,35001.78515625,7.0591077
50,22668.173828125,22752.427734375,7.1891122
51,29071.44921875,29146.041015625,7.3209403
52,18081.412109375,18180.328125,7.4558789
53,22979.115234375,23059.138671875,7.589366200000001
54,19059.908203125,19171.81640625,7.719136200000001
55,25913.9140625,25984.40234375,7.8509885
56,30975.220703125,31126.5234375,7.981608100000001
57,42509.01171875,42545.5703125,8.121232000000001
58,54759.5234375,54862.4609375,8.2594667
59,44014.3828125,44030.15234375,8.3998687
60,38365.23046875,38477.0078125,8.5447714
61,26452.00390625,26517.88671875,8.6842288
62,23223.537109375,23327.037109375,8.8167522
63,19379.060546875,19465.19921875,8.9538817
64,17804.884765625,17899.265625,9.091364500000001
65,18488.771484375,18590.974609375,9.223137000000001
66,17150.490234375,17219.494140625,9.3616469
67,25668.673828125,25791.08203125,9.4998615
68,29967.228515625,29976.001953125,9.6382971
69,44018.12890625,44146.21484375,9.7742582
70,47905.83203125,47879.8359375,9.9164673
71,51097.453125,51164.60546875,10.0564193
72,88783.5625,88602.7265625,10.1936692
73,56316.3203125,56358.65234375,10.3254765
74,81037.2734375,80833.171875,10.4573204
75,31623.783203125,31722.544921875,10.5962856
76,31862.865234375,31848.28515625,10.7253596
77,23551.74609375,23661.384765625,10.8559369
78,24334.392578125,24363.509765625,10.9879703
79,21124.853515625,21232.755859375,11.1210296
80,23501.234375,23545.119140625,11.259291000000001
81,20098.6015625,20201.3671875,11.410242
82,24273.55859375,24323.58203125,11.541753
83,20385.1796875,20480.185546875,11.6827292
84,26605.43359375,26662.23046875,11.8235179
85,21788.0234375,21876.234375,11.9607574
86,30433.1796875,30488.55078125,12.098438400000001
87,23084.994140625,23165.1484375,12.2301449
88,33340.66796875,33402.171875,12.3617868
89,23210.744140625,23283.94140625,12.497562
90,33297.3828125,33360.37109375,12.6377067
91,21923.53125,21993.314453125,12.7750283
92,31199.650390625,31261.8828125,12.9081925
93,21143.6171875,21209.0859375,13.038360500000001
94,37931.8671875,37945.5078125,13.169551
95,36031.609375,36079.88671875,13.302825799999999
96,52380.484375,52324.5390625,13.4369541
97,31021.818359375,31126.8515625,13.570840800000001
98,35615.44140625,35565.359375,13.7067855
99,35185.41796875,35310.04296875,13.850991200000001
100,40705.10546875,40638.5859375,13.9897556
101,35880.45703125,35986.58203125,14.122837500000001
102,24685.669921875,24652.490234375,14.255832200000002
103,20870.958984375,20962.123046875,14.385847100000001
104,12741.615234375,12745.38671875,14.518789400000001
105,15335.31640625,15429.29296875,14.649427600000001
106,12481.1845703125,12497.2177734375,14.7826455
107,17477.962890625,17578.19921875,14.915302800000001
108,19914.34765625,19920.77734375,15.0476741
109,30440.904296875,30546.873046875,15.1799415
110,36739.984375,36717.9296875,15.312232500000002
111,42490.08984375,42629.1328125,15.446521800000001
112,34478.53125,34475.69140625,15.5805676
113,31145.982421875,31291.423828125,15.712404000000001
114,21772.41796875,21818.681640625,15.8450462
115,20919.513671875,21044.64453125,15.977075600000001
116,16319.59375,16384.431640625,16.1105378
117,16487.455078125,16603.466796875,16.242963099999997
118,14161.0576171875,14230.990234375,16.376117299999997
119,14443.9697265625,14537.7529296875,16.509359999999997
120,14680.0947265625,14751.494140625,16.6376693
121,14216.34375,14295.7685546875,16.7716338
122,16365.76171875,16438.576171875,16.9034287
123,15887.265625,15958.61328125,17.0356551
124,20346.2109375,20420.03125,17.165187799999998
125,16764.78515625,16834.31640625,17.2976057
126,19904.400390625,19986.287109375,17.4304712
127,16080.052734375,16141.6201171875,17.5599645
128,18616.20703125,18699.880859375,17.6901752
129,14911.8818359375,14977.08984375,17.823190699999998
130,16829.37890625,16914.3125,17.956047299999998
131,15484.08984375,15562.69140625,18.0913938
132,16555.5859375,16643.376953125,18.2240753
133,20675.0546875,20770.826171875,18.356255299999997
134,22074.451171875,22155.796875,18.489576
135,39240.9453125,39329.203125,18.6235243
136,40050.73828125,40101.453125,18.754776399999997
137,87230.3671875,87148.3984375,18.8914445
138,65866.2265625,65906.3203125,19.023029599999997
139,103251.828125,102939.5,19.166193099999997
140,27735.6796875,27899.830078125,19.304938999999997
141,20983.279296875,20964.166015625,19.446172699999998
142,24242.130859375,24381.1015625,19.5746354
143,18425.484375,18412.96875,19.706528499999997
144,20237.82421875,20348.861328125,19.8384243
145,15266.958984375,15265.69921875,19.9706361
146,17429.2265625,17530.392578125,20.104039099999998
147,13544.890625,13550.3271484375,20.236335699999998
148,16070.966796875,16167.6689453125,20.3691043
149,13220.755859375,13227.3818359375,20.502246799999998
150,16039.875,16131.404296875,20.634201899999997
151,14335.69921875,14339.5771484375,20.7683277
152,17229.62890625,17318.029296875,20.9000035
153,16905.908203125,16899.818359375,21.0326392
154,19400.8125,19481.94921875,21.164392799999998
155,20481.162109375,20463.181640625,21.2963021
156,22606.548828125,22688.537109375,21.428898399999998
157,23833.2578125,23811.48828125,21.559698599999997
158,28229.650390625,28318.509765625,21.6900972
159,27532.015625,27525.072265625,21.819960199999997
160,34307.33984375,34409.9765625,21.949803099999997
161,25645.888671875,25671.716796875,22.0843004
162,31395.828125,31494.509765625,22.214604599999998
163,19845.259765625,19897.884765625,22.3467028
164,23603.681640625,23697.009765625,22.481674499999997
165,15285.5322265625,15353.9482421875,22.613262499999998
166,18892.673828125,18982.248046875,22.745261499999998
167,13938.9697265625,14015.4736328125,22.877217899999998
168,19015.513671875,19088.93359375,23.009540599999998
169,17661.30078125,17737.5,23.1415008
170,29191.794921875,29220.365234375,23.2710333
171,28911.46875,28963.08203125,23.406553499999998
